26.8	6.3	2.1	3.8	.284
27.8	6.5	2.2	4.3	.330
28.9	7.0	2.3	4.3	.462
29.7	7.3	2.4	4.3	.475
34.0	8.1	2.3	4.5	.670
30.5	7.6	2.3	4.3	.536
26.6	7.0	2.0	3.8	.337
31.1	7.5	2.1	4.3	.622
24.3	5.8	2.0	3.6	.233
27.0	6.2	2.2	3.8	.307
26.3	6.3	2.2	3.7	.269
25.2	6.1	2.1	3.5	.253
41.0	9.8	2.9	5.3	1.072
27.7	7.0	2.1	3.8	.365
29.0	7.6	2.2	3.8	.473
25.1	6.1	2.1	3.3	.293
24.1	6.0	2.1	3.4	.273
23.7	5.5	1.9	3.4	.199
27.9	6.4	2.4	3.8	.372
30.6	7.2	2.5	4.4	.479
23.1	5.8	2.0	3.4	.220
25.6	5.8	2.1	3.5	.261
21.6	5.4	1.9	3.3	.190
24.6	6.1	2.1	3.3	.268
22.1	5.8	2.1	3.1	.197
28.2	7.1	2.5	4.1	.381
26.0	6.5	2.2	3.8	.277
28.0	7.2	2.4	3.8	.362
24.5	5.9	2.2	3.5	.230
24.0	5.7	2.0	3.1	.221
25.8	6.7	2.3	3.8	.293
23.5	5.4	1.9	3.4	.225
28.4	6.7	2.2	4.0	.392
24.6	5.8	2.0	3.6	.243
22.2	5.5	2.0	3.3	.170
28.0	6.7	2.2	3.9	.322
24.7	6.0	2.2	3.6	.234
25.1	6.3	2.1	3.5	.248
21.6	4.9	1.8	3.0	.148
24.3	6.0	2.0	3.6	.226
23.2	5.8	2.0	3.1	.200
21.0	5.3	2.0	3.0	.147
23.1	6.0	2.1	3.4	.207
